,texto,sentiment,probabilities
0,Ações da Americanas (AMER3) despencam 38% após mais um dia de leilões Magazine Luiza ON (MGLU3) e Via ON (VIIA3) lideraram altas do Ibovespa e também passaram por leilões,1,"[[0.06275182962417603, 0.9326257705688477, 0.004622417967766523]]"
1," Retrospectiva 2023: Moda buscou segurança em números realistas e estilo comportado Passada euforia do pós-pandemia, setor  prova que toda euforia, estética ou mercadológica, tem prazo de validade ",1,"[[0.0001442223583580926, 0.9991401433944702, 0.0007155396160669625]]"
2," Retrospectiva 2023: No Brasil, tentativa de golpe, desastres ambientais e onda de calor No futebol, o ano foi de quebras de tabu nos gramados e intervenções na CBF",0,"[[0.5170389413833618, 0.4797344207763672, 0.0032266108319163322]]"
3, Retrospectiva 2023: Público voltou aos teatros neste ano  Sucessos de bilheteria e temporadas sustentáveis marcaram o período  pós-pandêmico nos palcos,1,"[[0.0019061756320297718, 0.9970782995223999, 0.0010155803756788373]]"
4,"Estou ansioso para ver o que o Ano Novo reserva para mim, diz robô do Google Newsletter de Inteligência Artificial do Valor destaca o que foi mais importante em 2023 e projeções para 2024",1,"[[0.00029302568873390555, 0.9966532588005066, 0.0030537659768015146]]"
5,"Pegar os problemas para si é da cultura do Nubank, diz fundadora Cristina Junqueira Executiva é CEO do braço verde-amarelo da fintech e, desde agosto do ano passado, acumula o cargo de “chief growth officer” (CGO)",1,"[[0.00015268231800291687, 0.9994224309921265, 0.0004248269833624363]]"
6,"Com o crédito no Pix você não precisa mais de cartão, diz Campos Neto Segundo ele, a autoridade monetária está estudando mudanças no cartão de crédito: É um produto que nos preocupa",1,"[[0.0008361748768948019, 0.9984086155891418, 0.0007551559247076511]]"
7,Contagem regressiva cripto: Porta de entrada para US$ 100 bi pode se abrir no dia 10 de janeiro; entenda Entusiastas dos criptoativos argumentam que o lançamento dos ETFs de bitcoin à vista ajudará a indústria de ativos digitais a se tornar uma parte significativa das finanças tradicionais,1,"[[0.0002490489277988672, 0.9818934202194214, 0.017857510596513748]]"
8,Efeito Americanas faz varejistas liderarem quedas do Ibovespa Rombo de R$ 20 bilhões na Americanas arrasta ações do setor para o campo negativo,0,"[[0.9977442026138306, 0.0019035987788811326, 0.0003521377802826464]]"
9,"Espero que seja um comunista do bem’, diz Lula sobre Dino no STF Presidente diz que futuro ministro do STF ficará no Ministério da Justiça até 8 de janeiro",1,"[[0.000297681923257187, 0.9988037347793579, 0.0008985641761682928]]"
