Texto,Real,Predicted
us poise restrict abortion nations ease access,neutral,positive
us astronaut return russian capsule despite heighten tensions war,positive,negative
putins war could worsen impact covid19 ukraine,negative,negative
gr  ammys 2022 red carpet see best wildest wtf look,positive,positive
vivica fox unload jada pinkett smith accountability slap,positive,positive
fda au thorize second covid booster 50 older,neutral,neutral
marvel allout avengers series come fall heres fan know,positive,negative
end sight ukraine war putin hail victory day,negative,negative
snowboarders say judge issue olympic big air,neutral,negative
minneapolis teacher contract race language ignite firestorm,neutral,negative
un scale humanitarian operations ukraine follow russias invasion,neutral,negative
power outage austin airport lead flight delay traffic jam,negative,negative
weekend update mock tookind penalty smith slap,negative,negative
postpartum hair loss kick heres wish know,positive,neutral
beijing district order mass virus test ahead olympics,neutral,negative
2  ahmaud arberys killers withdraw guilty pleas face federal hate crime trial,negative,negative
punk band  respond former oath keeper wear shirt jan 6 hear,neutral,negative
beyonce land first oscar nomination jayz get snub,negative,neutral
2  weeks war ukraine russia bear key cities,negative,negative
funniest tweet parent week june 25july 1,positive,positive
arizona wildfire force fast decision fight flee flame,negative,negative
parent arrest attempt grab children school lockdown,negative,negative
tyler perry reveal smiths state mind right oscars slap,positive,positive
la dodgers owners buy chelsea soccer club sanction russian oligarch,neutral,neutral
fbi  arrest 4 louisville cop breonna taylor shoot investigation,negative,negative
covington kid nicholas sandmann lose defamation suit major media outlets,negative,negative
us hire  slow august employers add 315000 job,neutral,positive
chris noth remove like finale,positive,positive
salvage vacation rain time,neutral,neutral
adam rippon marry jussipekka kajaala secret new years eve ceremony,neutral,neutral
nfl seek arbitration flores racial discrimination suit,neutral,negative
leon vitali stanley kubricks righthand man die 74,negative,negative
strict coronavirus shutdowns china continue infections rise,neutral,negative
funniest tweet parent week may 713,positive,positive
lizzo change lyric new song criticism ableist slur,negative,negative
flash movie still set release despite ezra millers controversies,neutral,neutral
biden putin gods sake man cannot remain power,neutral,negative
zelenskyy say hes meet us officials blinken austin,neutral,negative
olympian release beijing isolation facility emotional video plea,negative,negative
9  11 attack still reverberate us mark 21st anniversary,negative,negative
instagram facebook remove post offer abortion pills,neutral,neutral
9  migrants find dead rio grande border patrol,negative,negative
allege stalker reportedly threaten taylor swift build,negative,negative
ina garten give onbrand reply reese witherspoons post healthy habit,positive,positive
jam caans death inspire tribute tweet friends admirers,positive,positive
uber sue women allege sexual assault drivers,negative,negative
ed sheeran best thing come phone,positive,negative
russia launch fight industrial heartland ukraine say,negative,negative
1  1 survivors school gun violence share still reverberate live,negative,negative
speedskater bart swing accomplish olympics first belgium,positive,neutral
jimmy fallon elon musk own heavens twitter hell,negative,negative
simone biles lindsey vonn rally mikaela shiffrin keep head high,neutral,negative
kate mckinnon break silence reason behind snl exit body tire,neutral,negative
emergency declaration multiple wildfires new mexico,negative,negative
family american hold afghanistan say free taliban prisoner swap,negative,neutral
man charge expose mourners wait view queen elizabeth,negative,negative
mike bossy islanders great 4time stanley cup champion die 65,positive,negative
world cup captain want wear rainbow armbands qatar,positive,positive
bandit guard cat hail hero thwart wouldbe robbery,positive,negative
biden putin signal bigger confrontation ahead ukraine,negative,negative
feel hungover anxiety panic attack,negative,negative
anthony var varo mlb pitcher turn transit cop die crash way 911 ceremony,negative,negative
film stage star ariana debose host tony award,positive,positive
fertility treatment put many families debt heres manage,negative,negative
zelenskyy russian offensive eastern ukraine begin,negative,negative
us eu announce new partnership undercut russian energy,positive,neutral
famously cancel louis ck grammy,negative,negative
odell beckham jr standby baby news super bowl 2022,positive,positive
un chief ask world massive help floodhit pakistan,positive,negative
russia plan annex much eastern ukraine senior us official say,neutral,negative
lisa loeb pave way 90s rare feat independent artists time,neutral,neutral
facebook still allow mug shots even though ruin live,negative,negative
fire train equipment lack us nuclear dump report,negative,positive
breonna taylors family supporters sustain push justice,positive,negative
le  ast 15 kill south africa bar shoot,negative,negative
stranger things fan call surfer boy pizza number get gnarly surprise,positive,positive
hailey bieber shut pregnancy rumor leave alone,negative,negative
phantom opera close broadway next year,neutral,neutral
philadelphia end mask mandate days reinstate,neutral,neutral
britney spear share sunsoaked honeymoon update fan,positive,positive
jane campion win best direct oscar power dog,positive,positive
watch harry style pay tribute queen elizabeth ii nyc concert,negative,negative
oh dave coulier recall hear alanis morissettes oughta know first time,neutral,neutral
exemployee testify doubt r kelly abuse denials,negative,negative
funniest tweet women week june 25july 1,positive,positive
bad  guy repeat 1 liam neesons latest misfire,negative,negative
2  1 people rescue stick overnight aerial tram new mexico,positive,positive
sho  ot wound 4 near south southwest festival austin,positive,negative
meta grant exemption hate speech rule allow call violence putin,negative,negative
msnbc name rachel maddows successor alex wagner,positive,neutral
jeff bridge share powerful lessons cancer covid19 bouts,negative,positive
gray man trailer gosling vs evans netflixs expensive movie ever make,neutral,positive
g7 pledge phase import russian oil,neutral,neutral
brad pitt defend ana de armas marilyn monroe accent backlash,neutral,positive
state launch probe tiktoks effect kid health,neutral,negative
boy whose body find suitcase die electrolyte imbalance,negative,negative
ukrain  e refugee count reach stagger 2 million escape russian invasion,positive,neutral
memphis police arrest make joggers disappearance,negative,negative
russia say pull back force ukraines kharkiv region,neutral,neutral
3  cop trial floyd kill head close arguments,negative,negative
russian military slog ukraine dreadful mess putin,negative,negative
dave chappelle reject high school offer name theater amid controversy,negative,negative
meat loaf wife describe gutwrenching grief husband death,negative,negative
new york post wall street journal editorial board condemn trump,negative,neutral
sp downgrade indicate russia head historic default,neutral,negative
fox news reporter feel damn lucky lose limbs ukraine attack,negative,negative
despite gop attack parent pretty happy kid school poll find,positive,positive
prince harry file court claim uk police protection,neutral,neutral
pale  stinian gunman wound 8 latenight jerusalem shoot,negative,negative
7  happiness hack commute,positive,neutral
unprecedented gusts expect fan wildfires new mexico,positive,negative
raw sewage spill shut beach southern california,neutral,negative
live bahamas kim kardashian pete davidson romantic getaway,positive,neutral
queen elizabeth cancel engagements 2nd time week,negative,negative
cite imminent danger cloudflare drop hate site kiwi farm,negative,negative
weapons cause grave damage arent sacred texas bishop fume,negative,negative
us unemployment claim rise highest level since november,negative,neutral
john  oliver suddenly angry 1 key point da vinci code,negative,neutral
first lady jill biden meet ukrainian refugees border visit,neutral,neutral
noah schnapp reveal doja cat thirst stranger things costar,neutral,positive
shoot  v  irginia hookah bar leave 1 dead 4 injure police,negative,negative
uvaldes next step visitations funerals burials one another,negative,neutral
bat  man still 1 cross 300 million,neutral,neutral
race re place boris johnson prime minister 2 candidates,neutral,negative
principal texas school shoot happen reinstate,negative,negative
for  d recall 250000 suvs roll away park,neutral,neutral
ukraine official zelenskyy meet toplevel us delegation,neutral,negative
american pie singer mclean drop nra convention gig shoot,negative,negative
canada border blockade clear peacefully police move,positive,negative
5  00000 flee ukraine since russia invade un report,neutral,negative
boris johnson offer wholehearted apology partygate,positive,negative
major league baseball fail start time winter feel endless,negative,negative
chrissy  teigen say feel really good celebrate 1 year sober,positive,positive
new y  ork city ring 2022 time square ball drop amid smaller crowd covid,negative,neutral
superyacht reportedly own russian oligarch seize fiji,neutral,neutral
ani liu brilliantly disguise art science,positive,neutral
arcade fire singer win butler accuse sexual misconduct several people report,positive,positive
giant sinkhole swallow chilean land own canadian mine company,neutral,neutral
world leaders pay respect queen elizabeth ii,positive,negative
norman reedus open walk dead injury think go die,negative,negative
podcasters offer 100k reward information 2pacs killers,negative,neutral
mira sorvino offer sweet tribute actor dad paul sorvino,positive,negative
4  us troop kill plane crash nato exercise,negative,negative
american tourist miraculously survive fall mount vesuvius,neutral,neutral
engage h  ockey star bobsledder reunite winter olympics 3 months apart,positive,neutral
rafael nadal win australian open record 21st major title,positive,positive
detroit zoo move bird inside avian flu outbreak michigan,negative,negative
medical students walk ceremony keynote speaker oppose abortion right,neutral,negative
man identify portland mass shoot rail blm protesters report,negative,negative
kimmel host chelsea handler name sham biggest maga moron ever elect,negative,neutral
idris elba reveal dr dre song get everyone dance meghan markles wed,neutral,neutral
dog catch monkeypox france first suspect humantopet transmission,negative,neutral
us speedskaters honorable move allow friend replace olympic race,positive,positive
biggest covid issue people bring therapy,neutral,neutral
betty white team release heartfelt message film 100th birthday,positive,negative
7  8000 pound infant formula arrive us europe,neutral,neutral
pope francis condemn abortions compare hire hit man,negative,negative
ukraine say russia seize relief workers mariupol convoy,positive,negative
last reactor ukraines zaporizhzhia nuclear plant stop,negative,negative
dr dre make super bowl history add deaf rappers halftime show,positive,positive
earth day biden face headwinds climate agenda,neutral,negative
lose daughter drive car win top prize independent spirit award,positive,positive
serena williams write powerful essay almost die give birth,negative,neutral
sean penn tell sean hannity dont trust ya surreal talk trust ensue,positive,positive
ram legend eric dickerson reject super bowl ticket rafter,positive,positive
ukraine womans account spark investigation sexual violence russian force,negative,negative
ohio tornado displace hundreds families leave thousands without power,negative,negative
wnba legend lisa leslie tell make big fuss brittney griner,neutral,negative
uvalde school police chief pete arredondo resign city council,negative,negative
abortion clinic staff grapple trauma follow end roe v wade,negative,negative
funniest tweet parent week june 1117,positive,positive
wisc  onsin man celebrate 50 years daily big macs mcdonalds,positive,positive
safety always first nasa reschedule artemis moon mission saturday,positive,negative
lebron jam dish dream one day play nba son,positive,neutral
john legend praise brave chrissy teigen share pregnancy loss photos,positive,negative
1  0 foods never cook grill accord experts,neutral,positive
kid cudi storm offstage roll loud surprise kanye west appearance,positive,positive
prince george smile sand adorable 9th birthday photo,positive,positive
russia hit ukraine fuel suplies airfields new attack,negative,negative
amy schumer say kirsten dunst oscar seat filler joke,positive,positive
elizabeth  olsen say shes never meet dr strange 2 costar john krasinski,positive,negative
dc p  olice find 5 fetuses home antiabortion activist lauren handy,neutral,neutral
michael jacksons kid paris prince pay tribute dad tony award,positive,positive
dallas cowboys owner jerry jones home fine report crash,negative,neutral
us pave way resumption mexico avocado export,neutral,neutral
hawaii seek end conflict astronomy sacred mountain,negative,negative
report paul haggis detain italy sex assault case,negative,negative
treat bug bite way dermatologists home,positive,neutral
3  0 weird valentines gift sweetheart sweet,positive,positive
2  women dead car crash dc restaurants outdoor patio,negative,negative
prince william evade question whether support prince andrew,positive,neutral
close arguments begin hate crimes trial men kill ahmaud arbery,negative,negative
russian troop kill sicken poison food ukraine residents say officials,negative,negative
la m  an among 3 kill lightning strike near white house,negative,negative
john legend say kanyes support trump ruin friendship,positive,negative
rafael nadal win french open 14th time defeat casper ruud,positive,positive
diddy h  onor lifetime achievement starstudded tribute 2022 bet award,positive,positive
french scientist troll twitter claim chorizo slice actually distant star,neutral,negative
arrest m ake south carolina mall shoot wound 14 people,negative,negative
cyberattack prompt los angeles school district shut computer systems,neutral,neutral
